user_id,parent_asin,datetime,rating,title,text,session_interaction_count,time_delta_seconds,is_returned
AE2YWV3FGI7SER3JLEW4DXQYTIOQ,B07ZJGH4VN,34:53.1,5,Hood quality for the price,Nice little warm beanie and gloves.good quality,1,-1,0
AE2YWV3FGI7SER3JLEW4DXQYTIOQ,B07QPMKND3,35:22.3,4,Looks great,I'm pretty happy with this one! The fact that it came with the tool to help you adjust the wristband is pretty awesome! It was pretty easy to adjust too. My husband did it within 20mins . Definitely a nice one to wear when he uses his formal attires!,2,2538029.175,0
AE2YWV3FGI7SER3JLEW4DXQYTIOQ,B07YQ11B1T,13:27.8,5,True to size and comfortable,"I am 5'3"", I ordered small size and it fits perfect! I love the feeling of the fabric on my skin as it is soft to touch. It was so comfortable In fact it even look so pretty to be a night wear:)<br />The process and shipping was quick too.",3,1867085.468,0
AE2YWV3FGI7SER3JLEW4DXQYTIOQ,B087N93ZC1,01:45.9,3,Thin material,Cool design but material is too thin to wear as 'mask' but this should be ok for riding bikes/motorcycle. the edge is not hem so it rolls when you try to put it on.,4,12131298.14,0
AE3TASYGLHHRHUJUDFTKFDMWFIYA,B0002PR2WM,09:43.0,5,Five Stars,Love them and get lots of compliments on them.,1,-1,0
AE3TASYGLHHRHUJUDFTKFDMWFIYA,B09BM2FYJN,15:17.2,4,Good compression,"Good compression but very thick, not at all sheer or dressy.",2,188787934.2,0
AE3TASYGLHHRHUJUDFTKFDMWFIYA,B09MMXP1VK,25:50.9,5,Adjustable to fit adults too!,Fairly sturdy construction. Really cute. Bendable eye stalks and claws. Folds flat for storage.,3,24880233.76,0
AE3X7PNUWXQU6FZQLQGIA6ZT45QA,B07SB3DYGQ,01:19.9,5,So Pretty for a Summer Photo Shoot or Just Playing!,"We thought this dress looked very pretty, and it does look even more pretty in person. I like that there are 3 layers of fabric to make up the skirt, so it looks very nice and flows well without being inmodest. The sleeves are cut to be extra cute and this could very well be used as a flower girl dress for a beach or outdoor wedding. We thought it would look nice for some outdoor photos, but she's had just just wearing it and ohhhing and ahhhing over the lace fabric. The stitching looks solid and it's a nice knit fabric.<br /><br />Thanks so much for reading my review. I hope you found it helpful.",1,-1,0
AE3X7PNUWXQU6FZQLQGIA6ZT45QA,B08BL3W56P,03:19.8,4,Soft and Stretchy!,"This is a fun garment to wear under your clothes for a nice surprise later... or for a fun time. Aranmei Sexy Lingerie for Women Plus Size Fishnet Babydoll Nightgown Lace Sleepwear is something like a bodystocking dress. It feels like the same material that's used for tights. It clings to your curves and is suitable for nearly any body shape. It stretched out for me for a 18w dress size. I'm not sure how much it can go, but the more it stretches out wide, the shorter it will be. This may or may not be a bonus for you, but worth mentioning. It comes with the gloves pictured too, which have some thumb holes. I'd recommend this as it's cute, has a butterfly on it and feels nice. It made me feel nice about myself.<br /><br />Thanks for reading my review. If it was helpful, please click the button below.",2,2667719.831,0
AE3X7PNUWXQU6FZQLQGIA6ZT45QA,B08G197QCP,26:48.6,4,Five Layers of Tulle Makes a Fluffy Skirt!,"This is a nicely made dress for kids. The fabrics are all knit, so it has some stretch all the way around. There is elastic at the waist. Nearly all the seam lines are hidden, so it's soft on delicate skin. The one sent to me looks a little different than the one in the promo photos, as there is a button on the back that doesn't function, so it's more for decoration. The front bust is lined. The lining fabric of the skirt is cut to a good length for the layers of tulle. There is a belt included which is a wide1 1/2"" ribbon with a bead and rhinestone decorative piece hotfixed onto the front. It's meant to be tied at the back. The dress looks fine without it, so it's optional for wear. It's a really cute little dress. We ordered for a size 5 and it fits as I would expect.",3,5008.803,0
AE3X7PNUWXQU6FZQLQGIA6ZT45QA,B06XY13611,46:42.8,5,Fishnet Knee Socks!,"The fishnet knee Socks com as a 2 pair set. I've never seen fishnets as knee socks, so I had to give them a try. They're super cute and I've enjoyed them. They fit with no issues, didn't slip and were as comfortable as I expected. It's a really fun way to add a twist to many different outfits for a unique look. I think this would work well for some cosplay outfits as well, or a fancy dress costume. The toe re-enforcement is appreciated, as that's always been the drawback of wearing fishnets. These are super-cute, fun and made in Italy!<br /><br />I hope my review was Helpful for you and you will click the button below. Thanks so much for reading.",4,1120794.288,0
AE3X7PNUWXQU6FZQLQGIA6ZT45QA,B08FCJ941X,37:20.8,5,Better Than Expected,"For the order, you get 3 pair of novelty socks that are in their own independent packaging, so you can potentially have 3 small gifts from one order. The image quality is pixelated, so it's a bit off but still much better than I expected. The fit is mostly universal for adults, and they stretch well. The fabric is blended and feels much more like synthetic dress socks than soft cotton. The one negative I found was the text on the red pair is only on one side, so when wearing as a pair, they are not the same on each side, and looks a little awkward if you care. The other 2 pair are printed the exact same on each side. I find this set to be a good value, as you can have 3 separate pair to gift or keep for yourself. This may even make a fun white elephant gift for the holidays. I'll be happily keeping these for myself.",5,1349437.959,0
AE3X7PNUWXQU6FZQLQGIA6ZT45QA,B0B8VJD6LQ,50:18.0,5,Really Fun for Dress-Up Play,"My little one has had a lot of fun using Heay Halloween Costume for Girls Fallen Angel Dress Costume as a part of her dress-up clothes collection. It's versatile for that, as she can make her own character to act out while playing on her own, or with her cousins. It's sewn as most costumes are, not all the seams are finished and not all edges are hemmed, but it does wear well for what it is. The fabric is soft enough that it isn't irritating. The fit is as I would expect. It's more of a bodysuit, so probably should not we worn outdoors if the weather is chill. She's quite happy with it, and has used it for several hours of play, so for that I consider it a good value.",6,2527977.235,0
AE3X7PNUWXQU6FZQLQGIA6ZT45QA,B089GP4DVG,27:39.1,5,Fits Great!,"HSIA Minimizer Bra didn't really do as much for minimizing as it did for lifting. It's very comfortable for me and I appreciate the support without the bulk. The cups are smooth, and do not show through with a thin tee. I appreciate the U shape of the underwire, as this was perfect for me and did not cut into my underarms as I have experienced in the past with other bras. I'm very happy with this one and will make sure to order more of this same one in the near future. I'd highly recommend it to anyone that likes to wear a bra and be comfortable at the same time. I also find it to be a great value for the quality of the construction and materials.",7,1024641.019,0
AE3X7PNUWXQU6FZQLQGIA6ZT45QA,B08GR4829J,27:17.3,2,"Good Construction, Very Small","I was disappointed to find that this coverall suit is sized very small. The construction of the suit is very good, stitching is even and the zipper was attached well. I do believe the sizing is not based on overall size, but purely on height. I would say the 3xl fits more like a medium/large, but certainly not for anyone over 5'7"", and at a very low body weight index. For those of us with a little more around the middle, we will be better off with a different brand with better sizing for a proper fit. I hope this was Helpful, and you will be kind and click the button below.",8,237578.191,0
AE3X7PNUWXQU6FZQLQGIA6ZT45QA,B08F746NPP,40:30.3,4,Looks Very Cute!,"HANDIC Angel Wings and Halo are very cute for smaller kids. This may work for adults, but will look very small. This is great for little kids like mine, who like to have a few different articles for dress-up play. This set would also be great to use for photo props or costumes. I'd recommend this set because it's made well for what it is, and has provided a good value for play.",9,5969593.064,0
AE3X7PNUWXQU6FZQLQGIA6ZT45QA,B08D6V5C9L,46:18.6,5,Soft and Comfy,"The ROFARSO Women's Kimono Robe is very soft and comfortable. I like to wear this after a shower and before going to bed. It has a good knit fabric and takes a nice shape when I wear it. The color I chose is heather, because it doesn't show obvious pet hairs when I'm cuddling with the dogs or cat. I'd recommend this for the comfort and convenience.",10,3948.271,0
AE3X7PNUWXQU6FZQLQGIA6ZT45QA,B08KXJCGGL,53:36.2,5,Adorable!,"The AWHALE Girls Knitted Pullover Sweater is very sweet and cute. It pairs very well with a plain tee and jeans. This is great for layering to keep warm during the colder months. It's very soft and my little ones loves to wear it. It washes well, and I've been drying it flat on a towel. It doesn't take much time to air dry. I'd recommend this to any little one that likes to be comfy and warm!",11,1300037.605,0
AE3X7PNUWXQU6FZQLQGIA6ZT45QA,B08L516DXJ,02:40.7,5,Classic Style!,"I'm most pleased with the HOMEHOT Girl's Mary Jane Flat Shoes for their classic style. These go well with a sweater and jeans, or for dress-up clothes like dresses for church. They clean easily. A very thoughtful touch is the hook-and-loop fasteners so little fingers can easily strap their own shoes. The kitten heels are fun for kids too! I'd recommend these for any outfit for a classic style and easy wear.",12,86944.459,0
AE3X7PNUWXQU6FZQLQGIA6ZT45QA,B0859ZX8NB,45:52.9,3,Cute and Shiny,"ZukoCert Girls Shiny Metallic Dance Fashion Leggings are very cute. I would not recommend these as a substitute for pants, as the material is thin. This works well with a tunic top or a dress. The downside to these pants is the fabric is delicate, and should not be dried in the dryer, so we have been allowing them to air dry. I also would not recommend these leggings for rough play time, since the fabric is so delicate.",13,1420992.247,0
AE3X7PNUWXQU6FZQLQGIA6ZT45QA,B08MBMY7DG,04:42.3,5,Very Pretty!,"The BOOSCA Women Jewelry Love Heart  is very pretty and shines brightly. I like the design and the chain looks good with a variety of clothing styles. I choose the Lavender color as it works well for my complexion and coordinates really nicely withe some other amethyst jewelry. I'd recommend this necklace for it's brilliant shine, stone color options and value.",14,785929.389,0
AE3X7PNUWXQU6FZQLQGIA6ZT45QA,B088BMMN8K,35:19.1,5,Very Happy,"I'm happy with the Devin Rose Sterling Silver 1/10 Cttw Diamond Center High Polished Cross Necklace. I have been wearing it on my days off for a few months. The metal has had no signs of discoloration. It still looks as nice as it was out of the box. The box is attractive and suitable to present as a gift. The chain is very fine and delicate. I find the quality is fair for the price and recommend this necklace to anyone that finds the promo photos appealing as they are true to the look of the necklace. Thanks for reading, I hope my experience is helpful and you kindly will click the button below.",15,2305836.845,0
AE3X7PNUWXQU6FZQLQGIA6ZT45QA,B08VCPDLMD,14:43.5,5,Soft and Comfy,"My son really likes the Colosseum Active Men's Juniper Poly Fleece Sweatpants. He's a weight/height proportionate teenager. They fit him well, but are a little more snug than we usually find the sizing of sweat pants. For a loose, roomy fit, I suggest ordering one size up. Despite this, my son finds them to be comfortable. I inspected the construction and stitching which is even and solid. The seems lay flat. I've washed them at least a dozen times and have not found any shrinkage or fading. I consider these pants to be a good value. I hope you have found the experience I've shared to be helpful to you and kindly will click the button below.",16,1895964.378,0
AE3X7PNUWXQU6FZQLQGIA6ZT45QA,B0932QCHZ4,25:07.7,5,Love the Shape Variety!,"I love all of the shapes included in my order of the CARAFAST 30Pcs Open Frame Bezels. I am a fan of UV resin, and these are ideal for my uses. I like to put dried flowers, tiny seashells and other small embellishments in open back bezels to make custom jewelry pieces. I think these work well for keychains too. This is a good value as the other findings, clasps, hooks and chain are included too. This saved me from searching for coordinating other findings to use on my own. I use these with clear packing tape and my favorite clear resin. I consider this set to be a very, very good value compared to similar products available at the big box crafting stores. I hope you find my experience helpful and kindly will click the button below.",17,4713024.169,0
AE3X7PNUWXQU6FZQLQGIA6ZT45QA,B092RDVTG6,53:07.4,5,Good Goggles for Eye Protection,"I am very happy with my new LIBUS Safety Goggles. It's important to me to do crafting, cleaning and other tasks safely. I like these goggles in particular for the complete enclosure they provide over my eyes to protect from splashes. The adjustable strap gives me a comfortable fit. I have not experienced any issues with fogging. These are great fitting goggles that I highly recommend. I hope that you find my experience helpful as you kindly click the button below.",18,6791279.761,0
AE3X7PNUWXQU6FZQLQGIA6ZT45QA,B0968D7FX6,48:07.3,5,Very Cute Dress!,I am very happy with my order of the  Long Sleeve Dress Cotton Vintage School Shirt Dress A-Line. The dress arrived in good condition and was well packaged. This dress is made from a very soft and comfortable material. I like that it has long-sleeves as it's great for the cooling temperatures of the season. The dress pairs very well with warm leggings. I found the stitching to be solid and secure at the seams. The hems are even. I find this dress to be a good value for the quality and recommend it. I hope our experience is helpful as you kindly click the button below.,19,3765299.877,0
AE4AR4BXKV3CICEMCUFZO4DDPXQA,B0164120BU,08:01.0,1,One Star,too big,1,-1,0
AE4AR4BXKV3CICEMCUFZO4DDPXQA,B00BXE9PQM,14:50.1,5,TIGHTS,THANKS GOODNESS I DIDNT PAY FOR THEM PRICEY,2,43110409.06,0
AE4AR4BXKV3CICEMCUFZO4DDPXQA,B06XRV9MM6,15:53.6,3,GREAT LAYER,CUTE,3,63.582,0
AE4AR4BXKV3CICEMCUFZO4DDPXQA,B01KUOYGRS,17:25.4,3,OK,OK,4,91.745,0
AE4AR4BXKV3CICEMCUFZO4DDPXQA,B0779JVQM5,57:43.1,5,love it,want more colors,5,5888417.711,0
AE4AR4BXKV3CICEMCUFZO4DDPXQA,B00PR709PM,08:51.1,4,good,hood is little small<br />and black nails such br different color i end up paint with glitter nail polish lol,6,667.962,0
AE4AR4BXKV3CICEMCUFZO4DDPXQA,B07XG8RVHJ,20:00.2,5,Very comforable,Great deal and bra,7,67342269.15,0
AE4AR4BXKV3CICEMCUFZO4DDPXQA,B08V4H5QK3,59:53.5,2,The mask is great but...,So yes it's very comfortable and breathable but I don't like it for one reason. That reason is the face patterns doesn't fit or align with your face as shown in my picture. Obviously it's not made for covid.,8,30530393.28,0
AE4T7QZ67MVG7ENOITXWBYEVGAJA,B07BPYFCXQ,13:25.9,5,Beautiful,Love love love. The picture does not do this dress justice. Was a little worried the material might look cheap but not the case at all. Super comfortable and true to size. It is a bit tighter in the right areas (waist). I love it. Bought some lace leggings to go with it just because i love leggings but it’s not short if you want to wear without.,1,-1,0
AE4T7QZ67MVG7ENOITXWBYEVGAJA,B0759G3K2Y,23:48.0,5,Love,Love love love. Great quality. Perfect fit. I highly recommend this.,2,622.168,0
AE4T7QZ67MVG7ENOITXWBYEVGAJA,B076CVLY16,24:23.0,5,Very nice,Very beautiful and good quality. Great fit. I recommend,3,34.994,0
AE4T7QZ67MVG7ENOITXWBYEVGAJA,B07B1VFP6X,31:51.7,5,Beautiful.,Love love love. good material and quality.,4,448.676,0
AE4T7QZ67MVG7ENOITXWBYEVGAJA,B079N9N57P,12:52.1,5,Beautiful,It’s beautiful. You’ll love it,5,1647660.408,0
AE4T7QZ67MVG7ENOITXWBYEVGAJA,B079DPP73F,29:05.0,5,Beautiful,It’s a little long but it’s something I could have taken care of. Very nicely made. Looks even nicer than in pictures.,6,972.918,0
AE4T7QZ67MVG7ENOITXWBYEVGAJA,B077SKLZLL,45:30.6,4,Nice. has a distressed look to it that doesn’t appear when pictured,Nice. Didn’t realize in the picture that it has a distressed look to it meaning the edges look like the color is coming off. Still nice so I’ll keep,7,21410185.62,0
AE4T7QZ67MVG7ENOITXWBYEVGAJA,B082PRBGTG,45:30.5,3,Nice material but small,Don't know if I rec'd the wrong size but ordered a large and rec'd what appeared to be a small. No size was on the dress so dont know if they're all small or I was just sent the wrong size. The material felt nice and thick but had to return it. might reorder,8,40219199.86,1
AE5LHHV7VJOJDZIFYW3NAOHFZDWA,B07H7C9M26,02:27.0,1,Soles detach from the rest of the shoe,Absolutely horrible - after wearing the shoes for 2 weeks the sole detached from the rest of the shoe. Would NOT recommend!,1,-1,0
AE5LHHV7VJOJDZIFYW3NAOHFZDWA,B07PT65NXY,06:10.1,5,Perfect fit!,"Love the pants! I was scared when I unpacked them, because I thought they looked too small, but they stretch nicely and fit me perfectly! I wish they had different colors.",2,13889023.08,0
AE5LHHV7VJOJDZIFYW3NAOHFZDWA,B07DN83LMT,26:11.2,5,👍🏻,They look beautiful,3,9958801.15,0
AE5LHHV7VJOJDZIFYW3NAOHFZDWA,B06XRF4LNP,27:50.7,5,❤️,Love it,4,3265299.448,0
AE5LHHV7VJOJDZIFYW3NAOHFZDWA,B07XCZGQQN,41:11.3,5,Great purchase👍🏻,"I love the pjs- the material is soft and pleasant, the size fits 💯, and the way it’s cut and put together - very comfy! Absolutely happy with my choice! Would buy it over again - oh that’s right- I did!",5,3806000.594,0
AE5LHHV7VJOJDZIFYW3NAOHFZDWA,B084VJ6BXN,50:50.7,3,Pick bigger size,The size was way too small. Pick a bigger size. I had to return mine,6,13565379.43,1
AE5LHHV7VJOJDZIFYW3NAOHFZDWA,B086W6XK3C,12:57.2,5,Worth the money,Pleasant material and nice fit,7,33182526.49,0
AE5LHHV7VJOJDZIFYW3NAOHFZDWA,B08TQT46XR,05:03.4,5,Love it,"True to size, colors are nice and material is great. I recommend",8,946326.228,0
AE5OR6PUL4DUSLSOHRKGFGHANZCA,B0777L7QMG,43:18.3,4,Nice and accurate!!!,My wife  likes it,1,-1,0
AE5OR6PUL4DUSLSOHRKGFGHANZCA,B07FKFP43H,46:14.8,2,Garbage!!!,"The  blue face looks  very dark. After a month of used the second  hand fall of inside the watch.  Then it wasn't  working,  I threw away!!!",2,176.467,0
AE5OR6PUL4DUSLSOHRKGFGHANZCA,B07M83GJBQ,34:43.7,5,Keep good time.,Pretty good watch,3,1936108.9,0
AE5OR6PUL4DUSLSOHRKGFGHANZCA,B08RSGW8NY,38:25.3,5,Amazing watch!!!,"Love this watches, they are very accurate and good looking, I got 3 of them and all works great. They are better than most of the others brands including some expensive watches. I recommend this watches!!!",4,61229021.56,0
AE6G7PRIP3SPE2ROOU4AZG7HRD6Q,B07GZB1WCX,26:09.3,5,TRUE TO SIZE! Amazon reviews led me astray,"5’8”, 135lb, slim build. I usually wear mediums So I bought these pants in medium and large due to the reviews. I got the khaki colors. I noticed each size had different tags so I’m Not sure if the sizes of each color run different but the khaki were true to size.<br /><br />I honestly wish I would have sized down. The photos show the medium and they’re too big :( I can tie the belt to make them tighter but they just balloon.<br /><br />The material is nice and not AS thin as others had mentioned. Yes, it’s pretty thin and cheap, but these are $10 pants. They honestly surpassed my expectations.<br /><br />I highly recommend getting your true size OR sizing down if you Want them<br />To look like the model",1,-1,0
AE6G7PRIP3SPE2ROOU4AZG7HRD6Q,B0721PX82X,20:18.7,3,Thin. Cheap.,So it looks just like the pics. It’s cute. It’s just thin. It’s not even swim material lol. It’s not lined... like you can’t swim in this.. just for looks.,2,6350049.373,0
AE6G7PRIP3SPE2ROOU4AZG7HRD6Q,B09YLQZLPM,54:25.3,1,"Not flattering, not seamless, rolls up","I am Updating my review from 2 stars to 1. After two washes, one pair got a huge run in them. They ARE NOT seamless at all and I’m actually embarrassed to wear in public lol<br /><br />I got these to lounge in.<br /><br />The fabric feels okay. Not SUPER soft or comfy , but standard seamless material. They are Stretchy and PRETTY true to size, but honestly, I’d size up if you’re on the fence. I got small - I’m 5’8” 128lbs, and they’re snug. The range of colors is nice.<br /><br />The fit IS NOT okay. They fit somewhere between boy short and bikini, cutting into my buttcheek, and giving me a double butt. They also roll up, which is what caused me to dock stars. They’re not sexy, but i at least wanted them to be comfy. Sadly, nope.<br /><br />They held up well in the wash, and I didn’t notice any shrinkage. Seem to be made well. I didn’t wear them out with clothing so I can’t comment on how “seamless” they really are. I’m sure these may fit some bodies wonderfully, but they don’t work for me.",3,76008846.65,0
AE6G7PRIP3SPE2ROOU4AZG7HRD6Q,B09D7Y7M2L,29:18.0,3,Don’t get the scrunch,"I’m torn on these leggings.<br /><br />Pros:<br />very comfy. I LOVE how soft and smooth they are. The material is stretchy, like rubber band elastic stretchy. not too thick or thin or see through. I get the “naked” feeling for sure and they look pretty “naked” as well, like a second,smoother skin.<br /><br />I run a lot so I put a few miles on these leggings and they held up beautifully. they are supportive and breathable, don’t roll down or sag. Surprisingly didn’t show any sweat despite  the light grey color which is GORGEOUS.<br /><br />The rise is high enough to cover my belly button. Length is great for full length on 5’8”. Sizing was true. 128lbs, I got small.<br /><br />Cons:<br />After one wash (while being in a delicate laundry bag) I noticed loose strings from the ankle seam. I’m hoping these aren’t falling apart already.<br /><br />My black boy shorts undies did show thru these a little. The grey is not 100% squat proof.<br /><br />The bum scrunch looks like a bum hole :/ I even got a second opinion which was the same. I don’t have a big booty so maybe it would look nice if you had a perfect peach like the model. I thought they would enhance my booty, but it only looks worse.<br /><br />I have to go with a solid 3 for these but<br />I highly recommend the non scrunch version!!!",4,452092.735,0
AE6G7PRIP3SPE2ROOU4AZG7HRD6Q,B096M5FFQS,22:39.1,5,Good quality and flattering,5’8” 127lbs. Small. Fits perfect. Took pics with and without flash. This dress is so flattering on my slim build. I love the color and design. It’s comfy and Modest. I think it can be dressed up (wearing to a wedding) or worn casually.,5,1007601.081,0
AE6G7PRIP3SPE2ROOU4AZG7HRD6Q,B099RR1Y36,00:20.5,3,Not flattering on tall slender builds,"It’s not as fitted as the model shows, but more boxy. The shoulder pads seemed to be too far forward making me look like a linebacker. Quality is wonderful. Disappointed with the fit, wouldn’t recommend",6,2345861.397,0
AE6G7PRIP3SPE2ROOU4AZG7HRD6Q,B09CPXG95M,48:13.7,5,"Casual and stylish, exactly like listing",This is a lightweight blazer so it’s perfect for casual wear. It’s fitted and stylish with No defects or loose threads. The size Medium Is true to size and made a wonderful gift. Im 100% satisfied with this jacket and would recommend.,7,2602073.201,0
AE6G7PRIP3SPE2ROOU4AZG7HRD6Q,B09HJZ48S3,50:15.1,5,"Sexy but modest, Perfect for holiday season",This dress Looks exactly like the photos.  The green is rich and soft. 5’8” 130lbs wearing a small. True to size but plenty of stretch and a side zipper. Flattering on curves. It’s comfy and didn’t ride up so I absolutely recommend for a dress occasion!,8,97321.335,0
AE6G7PRIP3SPE2ROOU4AZG7HRD6Q,B09M82ZPQW,52:07.3,3,"will not be wearing this alone, but decent for layering","Edit:<br />After one wash, sleeves shrunk to 3/4th length and collar wrinkled up. Pretty poor quality IMO, removing a star.<br /><br />Original review:<br />I Ordered my normal size small, and it is smaller than expected. The sleeves are slightly short and the torso is short, but that actually makes it great for layering under my sweaters. The material and appearance reminds me of the base layer athletes wear. It is comfy and Stretched out slightly through the day.",9,1728112.256,0
AE6G7PRIP3SPE2ROOU4AZG7HRD6Q,B09MRWQ5NC,19:09.0,4,Interesting top,"I was looking for a romantic/whimsy Top, but I Felt this looked a bit peasant-y on me. I’m 5’8” 128lbs. It’s a good length and nice color. The buttons are my favorite part! The top is well-made, not see through. I like it enough and can style it to suit me, but wouldn’t reorder",10,10452421.7,0
AE6G7PRIP3SPE2ROOU4AZG7HRD6Q,B09TXWDZF9,30:21.1,4,"Looks great, feels cheap","the fabric is a little stiff and immediately turns me off. The waistband has some give, and Sizing is true.<br /><br /> I’m 5’8” 132lbs wearing normal Size: small.<br /><br />You could see dark undergarments, but the dress is opaque. The colors are Rich and overall design is flattering.<br /><br />I love this for a casual summer dress, it just feels like a cheap Dress.",11,5091072.065,0
AE6G7PRIP3SPE2ROOU4AZG7HRD6Q,B0BG5K5RJ2,05:53.0,1,"Low absorbency, good for hiding C T","Ok, the absorbency is a joke, Literally leaked out the sides during a normal flow. They run 1-2 sizes small, virtually no stretch, and extremely stiff. They rubbed me a little raw, but They worked shockingly well under yoga pants to hide the toe. I will only wear these for yoga workouts but would never reorder this brand. Other brands are MUCH better.",12,15431731.96,0
AE6P2YJ6FKX332MD56GPJFSHXNJQ,B07FNCKT3P,08:37.8,5,Nightgown,This GH own is so soft. The color is as expected.,1,-1,0
AE6P2YJ6FKX332MD56GPJFSHXNJQ,B01BQ4DUUU,00:31.4,5,Not my version of purple. More pinkish,The shape. I was expecting a different purple,2,9546713.659,0
AE6P2YJ6FKX332MD56GPJFSHXNJQ,B078LR368Y,34:26.9,3,Don’t buy,The earrings are very well made.<br />I hated they would never stay in place.<br />Did not itch,3,13034035.48,0
AE6P2YJ6FKX332MD56GPJFSHXNJQ,B082Y3HZGL,16:58.5,5,"Yes, I know I am buying again",These bracelets are beautiful and wear beatiful,4,45812551.56,0
AE747CPTU3RCQNGPY4OYSSKJHKQQ,B01H7WPKGM,04:59.0,4,Given as a gift to someone who liked them.,"I bought these as a gift for a friend.  They love them, saying that they fit fine and are quite comfortable.  That's about all I can say",1,-1,0
AE747CPTU3RCQNGPY4OYSSKJHKQQ,B06XCKLVQ2,22:00.7,4,They worked as a gift.,"Purchased these as a gift for my girlfriend.  She didn't kill me for them, so I guess they worked.",2,35180221.73,0
AE747CPTU3RCQNGPY4OYSSKJHKQQ,B06XCTWZ7D,22:12.1,4,Worked as a gift.,"Purchased these as a gift for my girlfriend.  She didn't kill me for them, so I guess they worked.",3,11.394,0
AE7ANC7XTANTPTSFVTIGETC4ZSAQ,B07N65WR2Z,18:24.4,5,Unique and Original.  Style at its finest!,"One the best dress shirts I have ever purchased on Amazon.  Amazing comfort, quality, and fashion.  I get compliments everytime I wear this shirt.",1,-1,0
AE7ANC7XTANTPTSFVTIGETC4ZSAQ,B07DRFXHNZ,46:11.3,5,Great Jacket!,Amazing jacket!!!!  Was not sure if it would be a nice coat or not but was very surprised when it came.  Quality is excellent and fit is perfect.  My favorite coat now.,2,10636066.98,0
AE7ANC7XTANTPTSFVTIGETC4ZSAQ,B07F1FJTSJ,43:59.4,5,Nice Briefs,Great Briefs!!!  Perfect Fit and stretch for comfort.,3,12214668.09,0
AE7ANC7XTANTPTSFVTIGETC4ZSAQ,B08SCR7XZV,14:45.1,5,The Best Men’s Bag/Purse!,The packaging and presentation of the men’s coach bag is very impressive.  I am extremely pleased with this purchase.  The quality and size is perfect.  The Men’s Coach bag is the best bag I have ever bought.,4,27311445.69,0
AE7KNFTA67ELQJJBKJYU4MNFW57Q,B07FXS14V4,04:28.2,5,A on this,Good,1,-1,0
AE7KNFTA67ELQJJBKJYU4MNFW57Q,B06XCPHPBK,03:35.7,5,A++,Comfy,2,13622347.55,0
AE7KNFTA67ELQJJBKJYU4MNFW57Q,B074JHDGML,06:03.3,5,A++,A++,3,147.606,0
